,SegName,SegNum
165,11th ave to poppenhusen triangle,25719160
166,46th Street,3907962
167,The ACTUAL Harlem Hill,1397141
168,6d_Speed.Bottom.Harlem.Hill,18742687
169,Randall's Island Crit extended lap,21367438
170,Boogie Over The Bronx Kill,15436255
171,Hells Gate Drag ,11094412
172,Industrial CITY ,15779184
173,BCC-Teleport Thru Hunts Point,13250234
174,3rd Ave. Whitestone Bridge - McMansion Sprint,2301306
178,46th St Climb,13616743
182,Prospect Park Race Lap,5313629
186,Eastern Parkway Pedestrian Mall Climb,5958500
187,Eastern Parkway Sprint,4383620
192,Lower Central Sprint,7684455
193,Van Wyck - Sutphin,10333718
194,Upper Myrtle Sprint,7615191
195,e-z UP e-z Down,19533099
196,Coop Hill Climb,8795181
198,134 - Main (Hoover Climb),10240397
199,69th Rd Short Climb into Forest Hills,10042762
203,Tee Pee Singletrack,8110546
204,HOW THE WEST WAS WON,1966197
208,Qnz Blvd: 63rd St Climb,3968852
209,Kissena Park Climb,10468493
210,velo approach from Kissena Blvd,10627395
212,IMBA Up,5650069
213,Kissena 4 laps,15046594
214,chopoco hill,13429867
215,Corona sprint,25313841
217,Skillman - 50th to Queens Blvd,5841218
218,Alpe du Booth,1438623
220,Queens Shortcut Route,12002418
221,80 - 71 downhill sprint,10886074
223,Cemetery Sprint,8222626
227,Cross Island Loop - N Blvd,13085310
230,the bridge to the north shore,8585792
234,Ditmars-LGA Hill,7079388
236,Dougs Loop,20360782
240,Duck Under Hill,1743872
242,Head of Hudson,12912834
244,72nd st climb,35258595
245,Bay-parkway to 19th ave,5407547
246,Washington Cemetery/FDR HS Sprint South,23124107
247,Sprinting to the Other Side- Cemetery on 21st,5889012
248,60th St Bay Parkway to 18th Av,27081292
249,Cemetery Sprint,1172749
251,Pantara Time (Cemetery Gates),12793829
252,Avenue L Climb,1536406
253,Ave Mash,33572785
254,Bay to Ocean ,32318017
255,Flatlands X Flatbush,32275364
257,"Bridge over Paerdegat Basin, climb East-bound",7991071
258,Shortcut To Canarsie Park,17908173
259,Shortcut To Belt Pkway,17908139
260,61st; 13th to 8th.,14035148
261,65st from 9 to 13 aves,8733531
262,Borough Park on 56th ,30812890
263,50th; ONU to 19,14035135
264,47th street loop ,31657662
266,Ave I: McDonald to Ocean Pkwy,20781575
267,Which way?,32930490
268,tracks to ditmars CIP,33853375
273,nostrand north J to H,13245200
274,Ave K-hole: Sagan's Flatland vs The 4th Dimension,29977745
275,Kings HIJK Curve,35176963
276,pee wee herman,30458500
277,CP Ride,20166463
278,Seaview Park Sprint,21920908
279,Ave N+1,31778780
280,Full Jamaica Bay Lap ,5456681
281,Peregrine Roundabout,21479914
282,JBL - Canarsie Pier,7993791
283,Penn Red Loop CW,30382870
284,Penn Red Loop CCW,30382903
285,Sunset Park Hill Climb - 44th,1674475
287,41; 8 to 7,14035279
289,43rd St - New Utrecht Ave to 8th Ave,1822133
290,Sunset Park 44th St Climb,1999517
291,Sunset Park Hill Climb - 40th,1674523
292,41st Street Climb,7991061
293,37th minus 1,23249105
294,55th Uphill,9648388
296,37th St Sprint to F Hamilton Pkwy,3439062
297,Wave hi to the people,23800548
298,My Obama Llama Said Tehama,20120775
299,Dahill Sprint,26413138
300,Tehama Mama,27671403
301,CIA Sprint,12359982
302,ARGYLE SPRINT,10150968
303,Cross Church and GO!,21710409
304,Ditmas < 19th st > Cortelyou,24793435
305,Albemarle Drag Strip,8378025
306,The other side of the tracks,25195529
307,East 7th to 21st,19852247
308,Courtelyou Bend,24247749
309,"New York Ave ""Going Up""",6970961
310,Home Strerch,7523092
311,SNYDer,33470379
312,clarendon sprint 123 go,6271632
313,Avenue A Climb,3527216
314,Watch out for cars,4922361
315,Watch out for cars (reverse),9595923
316,The Roc from av L to the Station,4469837
317,One Hundred Percent Playground,33504355
318,K is for KOM,30671154
322,Hendrix Creek to Shirley Chisholm State Park Entrance,21498934
323,Into the Headwinds,22578322
324,King of Chisolm Descent,26149870
325,King of Chisholm,21423456
326,SCSP up the middle,22620480
327,Fountain Ring Reverse (single lap),25601672
328,Pennsylvania: Vandalia to the Belt,13310675
330,Falcon To Ring Descent,26149935
331,Freddie Mercury Climb,24668961
333,Addabbo Bridge,1488870
334,jeff ride lets see how fast you could climb 123 go,6263073
335,Steele's Crossbay Velodrome [Training Zone 1],8229092
336,Steele: Sprint Velodrome (stand up and sprint northbound),7645473
337,Cemetery Sprint South,7275559
338,Cemetery Sprint North,7275568
339,5th Av Cemetery side 24-34,25754405
340,Final sprint to Industry City,16586734
341,True Cemetery Sprint; North,12930373
342,6th to 7th -23rd up and around to 22nd,26618878
343,Prospect Incline,1712135
344,Beer garden to lights on 20th,26836938
345,23rd Hill (for repeats),12044256
346,20th Street Climb,15298353
347,Cemetery Clockwise from PPW Gate,20039890
348,19th st descent,23491867
349,Cemetery CCW from PPW,23195876
350,Green-Wood Cemetery - 20th St - 10th to 7th ,35022178
353,PP West Bend Sprint,22620079
355,Sprint between the lights,9699985
356,PP post-downhill turn,18490324
357,CISCYCLING Speed Endurance Interval,7842027
358,Middle Loop,26413289
359,Hill drive lap,8328538
360,Maple St Climb,702029
361,Rogers Rush,14567927
362,Cool-S american empire,29978389
363,Church Ave (Utica to Troy),5955552
364,kemar is too slow he is a poser ha ha ha ,6264382
365,Clarkson Ave Sprint,5661966
366,Remsen sprint E New York Av-Kings Hwy,9593366
367,Avenue A Climb,2380345
